1,34,3,4
2,34,2,3
3,41,9,6
4,4,8,7
5,4,5,4
6,46,7,6
7,42,2,10
8,1,6,7
9,10,5,3
10,17,10,6
11,8,7,5
12,8,6,1
13,22,1,10
14,33,8,7
15,14,2,7
16,24,3,1
17,19,7,8
18,7,1,8
19,9,5,6
20,46,6,5
21,10,9,5
22,13,2,4
23,13,3,1
24,24,9,8
25,21,10,3
26,7,2,8
27,16,10,3
28,41,10,10
29,27,7,7
30,20,6,2
31,37,3,4
32,31,3,9
33,10,2,8
34,15,6,7
35,8,6,5
36,7,3,5
37,27,2,6
38,39,5,8
39,25,10,10
40,40,4,10
41,23,2,7
42,40,5,4
43,26,6,7
44,21,2,8
45,15,6,2
46,17,1,5
47,40,7,2
48,6,2,7
49,45,10,6
50,12,5,5
51,47,9,5
52,50,2,7
53,10,3,5
54,5,7,1
55,6,7,2
56,50,5,6
57,48,3,2
58,8,3,3
59,27,5,9
60,27,5,3
61,35,5,3
62,41,10,3
63,33,10,10
64,1,4,9
65,50,8,5
66,46,3,3
67,22,1,2
68,41,2,6
69,49,1,8
70,32,8,10
71,18,3,3
72,4,1,2
73,25,2,5
74,12,1,5
75,44,6,1
76,40,1,7
77,43,8,6
78,30,3,3
79,47,8,5
80,9,2,9
81,50,9,1
82,24,4,4
83,12,6,5
84,17,3,3
85,6,8,1
86,15,1,6
87,28,1,1
88,21,5,10
89,25,5,2
90,13,9,1
91,25,8,9
92,7,7,5
93,26,5,5
94,47,5,7
95,29,4,8
96,43,9,10
97,32,5,2
98,12,4,2
99,15,5,6
100,40,8,5
1,34,3,4
2,34,2,3
3,41,9,6
4,4,8,7
5,4,5,4
6,46,7,6
7,42,2,10
8,1,6,7
9,10,5,3
10,17,10,6
11,8,7,5
12,8,6,1
13,22,1,10
14,33,8,7
15,14,2,7
16,24,3,1
17,19,7,8
18,7,1,8
19,9,5,6
20,46,6,5
21,10,9,5
22,13,2,4
23,13,3,1
24,24,9,8
25,21,10,3
26,7,2,8
27,16,10,3
28,41,10,10
29,27,7,7
30,20,6,2
31,37,3,4
32,31,3,9
33,10,2,8
34,15,6,7
35,8,6,5
36,7,3,5
37,27,2,6
38,39,5,8
39,25,10,10
40,40,4,10
41,23,2,7
42,40,5,4
43,26,6,7
44,21,2,8
45,15,6,2
46,17,1,5
47,40,7,2
48,6,2,7
49,45,10,6
50,12,5,5
51,47,9,5
52,50,2,7
53,10,3,5
54,5,7,1
55,6,7,2
56,50,5,6
57,48,3,2
58,8,3,3
59,27,5,9
60,27,5,3
61,35,5,3
62,41,10,3
63,33,10,10
64,1,4,9
65,50,8,5
66,46,3,3
67,22,1,2
68,41,2,6
69,49,1,8
70,32,8,10
71,18,3,3
72,4,1,2
73,25,2,5
74,12,1,5
75,44,6,1
76,40,1,7
77,43,8,6
78,30,3,3
79,47,8,5
80,9,2,9
81,50,9,1
82,24,4,4
83,12,6,5
84,17,3,3
85,6,8,1
86,15,1,6
87,28,1,1
88,21,5,10
89,25,5,2
90,13,9,1
91,25,8,9
92,7,7,5
93,26,5,5
94,47,5,7
95,29,4,8
96,43,9,10
97,32,5,2
98,12,4,2
99,15,5,6
100,40,8,5
