1,160,1,1,246,67
2,175,1,1,579,153
3,25,1,1,644,704
4,133,1,1,816,917
5,43,1,1,58,427
6,160,1,1,529,346
7,137,1,1,910,30
8,105,1,1,736,308
9,88,1,1,782,803
10,67,1,1,476,709
11,189,1,1,498,17
12,65,1,1,628,20
13,149,1,1,637,379
14,139,1,1,940,605
15,40,1,1,841,831
16,193,1,1,510,770
17,195,1,1,154,26
18,176,1,1,621,38
19,95,1,1,761,892
20,166,1,1,544,699
21,81,1,1,907,930
22,81,1,1,128,789
23,147,1,1,925,913
24,194,1,1,248,416
25,150,1,1,191,934
26,102,1,1,951,157
27,131,1,1,861,283
28,20,1,1,252,414
29,59,1,1,518,160
30,107,1,1,751,235
31,49,1,1,735,185
32,143,1,1,640,586
33,59,1,1,125,760
34,61,1,1,699,141
35,172,1,1,674,213
36,184,1,1,772,89
37,126,1,1,441,961
38,141,1,1,318,621
39,139,1,1,891,593
40,76,1,1,530,512
41,92,1,1,474,392
42,143,1,1,752,384
43,173,1,1,189,56
44,133,1,1,682,821
45,40,1,1,330,198
46,66,1,1,821,327
47,162,1,1,798,747
48,162,1,1,928,57
49,116,1,1,878,89
50,38,1,1,634,744
51,189,1,1,910,872
52,188,1,1,406,434
53,165,1,1,503,511
54,39,1,1,607,188
55,37,1,1,736,232
56,50,1,1,37,180
57,96,1,1,144,767
58,100,1,1,342,908
59,30,1,1,416,305
60,138,1,1,765,764
61,30,1,1,174,667
62,51,1,1,271,829
63,128,1,1,923,728
64,67,1,1,602,557
65,21,1,1,221,942
66,97,1,1,712,561
67,24,1,1,846,201
68,169,1,1,915,268
69,98,1,1,688,948
70,148,1,1,942,708
71,59,1,1,163,72
72,63,1,1,976,181
73,167,1,1,834,119
74,107,1,1,579,977
75,133,1,1,488,114
76,187,1,1,556,153
77,184,1,1,899,873
78,47,1,1,600,583
79,80,1,1,152,160
80,200,1,1,342,717
81,67,1,1,429,640
82,64,1,1,17,765
83,176,1,1,150,178
84,45,1,1,220,751
85,194,1,1,204,934
86,34,1,1,803,937
87,145,1,1,725,861
